City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
vostok,46.4856,135.8833,50.63,82,99,3.49,RU,1623012017
rawson,-43.3002,-65.1023,51.62,46,31,17.67,AR,1623011946
mar del plata,-38.0023,-57.5575,55.09,66,0,1.01,AR,1623012018
gualeguaychu,-33.0094,-58.5172,50.65,73,7,7.52,AR,1623012018
cockburn town,21.4612,-71.1419,80.06,80,7,20.74,TC,1623012019
hilo,19.7297,-155.09,82.27,69,90,9.22,US,1623012019
cherskiy,68.75,161.3,65.64,39,100,19.46,RU,1623012020
hobart,-42.8794,147.3294,53.46,84,0,1.99,AU,1623011922
sitka,57.0531,-135.33,51.69,76,90,6.91,US,1623012020
bambous virieux,-20.3428,57.7575,75.45,78,75,11.88,MU,1623012021
albany,42.6001,-73.9662,91.78,42,52,8.88,US,1623012021
buchanan,5.8808,-10.0467,80.56,84,99,6.2,LR,1623012021
rikitea,-23.1203,-134.9692,76.68,84,97,15.68,PF,1623012022
arraial do cabo,-22.9661,-42.0278,76.96,83,0,12.66,BR,1623012022
vaini,-21.2,-175.2,77.16,78,40,12.66,TO,1623012023
pevek,69.7008,170.3133,47.03,69,44,12.88,RU,1623012023
cabo san lucas,22.8909,-109.9124,101.8,35,1,10.36,MX,1623012024
saint-philippe,-21.3585,55.7679,69.35,86,73,12.57,RE,1623012024
svetlogorsk,52.6333,29.7333,56.08,94,79,5.79,BY,1623012025
hasaki,35.7333,140.8333,66.29,85,100,1.43,JP,1623012025
povoa de varzim,41.3834,-8.7636,67.15,88,0,10.42,PT,1623012025
constitucion,-35.3333,-72.4167,53.67,68,100,10.02,CL,1623012026
kristiansund,63.1115,7.732,55.45,82,90,13.8,NO,1623012026
rosarito,32.3333,-117.0333,78.4,65,46,9.51,MX,1623012027
kiama,-34.6833,150.8667,52.25,82,82,1.01,AU,1623012027
lebu,-37.6167,-73.65,50.72,74,99,2.28,CL,1623011745
kapaa,22.0752,-159.319,80.58,79,90,1.99,US,1623012028
taoudenni,22.6783,-3.9836,104.5,7,89,5.61,ML,1623012028
upernavik,72.7868,-56.1549,37.96,85,68,3.38,GL,1623012029
brownsburg,39.8434,-86.3978,83.95,61,75,3.0,US,1623011985
norman wells,65.282,-126.8329,50.04,71,75,10.36,CA,1623012029
gorontalo,0.5412,123.0595,73.99,96,100,2.53,ID,1623012030
bluff,-46.6,168.3333,46.81,86,71,9.64,NZ,1623012030
ushuaia,-54.8,-68.3,38.86,87,40,9.22,AR,1623012030
sorland,67.667,12.6934,62.67,83,98,3.04,NO,1623012031
busselton,-33.65,115.3333,46.04,75,0,8.43,AU,1623012032
revelstoke,50.9832,-118.2023,57.22,58,75,3.44,CA,1623012032
barrow,71.2906,-156.7887,32.02,86,90,10.36,US,1623012032
klyuchi,52.2667,79.1667,58.69,50,0,3.29,RU,1623012033
punta arenas,-53.15,-70.9167,41.11,75,0,10.92,CL,1623012033
geraldton,-28.7667,114.6,55.81,88,90,17.54,AU,1623012033
bethel,41.3712,-73.414,94.41,46,1,1.99,US,1623012034
jiuquan,39.7432,98.5174,59.95,23,5,7.31,CN,1623012034
hami,42.8,93.45,65.88,15,51,13.96,CN,1623011740
naze,28.3667,129.4833,69.4,91,100,4.16,JP,1623012035
ahuimanu,21.4447,-157.8378,82.11,58,40,14.97,US,1623011852
camopi,3.1655,-52.3158,75.51,96,88,3.65,GF,1623012036
zhigansk,66.7697,123.3711,49.06,47,100,7.74,RU,1623012036
husavik,66.0449,-17.3389,53.51,65,88,9.93,IS,1623012036
qaanaaq,77.484,-69.3632,40.46,81,43,5.28,GL,1623012037
beruwala,6.4788,79.9828,80.15,84,100,9.75,LK,1623012037
vestmannaeyjar,63.4427,-20.2734,47.39,93,90,20.71,IS,1623012038
barao de melgaco,-16.1944,-55.9675,91.92,30,88,2.91,BR,1623012038
sokolac,43.9397,18.8017,56.37,97,100,2.71,BA,1623012038
centralia,46.7162,-122.9543,53.74,82,40,8.05,US,1623011918
mount gambier,-37.8333,140.7667,55.31,71,100,16.11,AU,1623012039
cloquet,46.7216,-92.4594,87.6,42,1,20.71,US,1623012040
severo-kurilsk,50.6789,156.125,42.22,93,100,10.67,RU,1623012040
namatanai,-3.6667,152.4333,79.66,84,99,3.91,PG,1623012040
korla,41.7597,86.1469,71.67,38,31,10.42,CN,1623011951
butaritari,3.0707,172.7902,82.26,72,16,5.73,KI,1623012041
samarai,-10.6167,150.6667,78.26,88,100,15.5,PG,1623012042
kelowna,49.8831,-119.4857,65.66,32,75,1.01,CA,1623012034
te anau,-45.4167,167.7167,36.88,94,15,0.96,NZ,1623012043
nikolskoye,59.7035,30.7861,63.39,76,58,3.98,RU,1623012026
carnarvon,-24.8667,113.6333,57.27,82,100,6.91,AU,1623012043
jamestown,42.097,-79.2353,85.3,46,75,5.99,US,1623012044
fairbanks,64.8378,-147.7164,71.6,49,1,0.0,US,1623011990
east london,-33.0153,27.9116,63.12,40,0,10.04,ZA,1623012044
ternate,0.8,127.4,80.29,77,99,1.95,ID,1623012045
kudahuvadhoo,2.6708,72.8944,82.76,75,65,13.87,MV,1623012046
hailey,43.5196,-114.3153,68.9,24,1,4.61,US,1623012047
castro,-24.7911,-50.0119,63.07,69,99,4.43,BR,1623012047
cape town,-33.9258,18.4232,70.21,31,0,10.8,ZA,1623012017
gunjur,13.2019,-16.7339,77.07,83,1,13.49,GM,1623012048
ribeira grande,38.5167,-28.7,66.6,82,40,10.36,PT,1623012048
sao filipe,14.8961,-24.4956,75.65,69,8,7.85,CV,1623012048
ordynskoye,54.3656,81.8994,54.07,82,5,6.38,RU,1623012049
jinchang,38.4953,102.1739,64.27,41,97,7.27,CN,1623012049
kalmunai,7.4167,81.8167,81.3,76,100,3.27,LK,1623012050
yellowknife,62.456,-114.3525,49.32,57,75,17.27,CA,1623011987
morbach,49.8167,7.1167,59.2,89,75,3.0,DE,1623012050
diego de almagro,-26.3667,-70.05,68.5,28,3,7.2,CL,1623012051
skjervoy,70.0311,20.9714,46.94,68,57,3.53,NO,1623012051
upata,8.0086,-62.3989,85.19,76,62,6.76,VE,1623012051
poronaysk,49.2167,143.1167,53.53,72,67,4.7,RU,1623012052
tiksi,71.6872,128.8694,43.97,64,100,4.38,RU,1623012053
college,64.8569,-147.8028,71.58,49,75,4.61,US,1623012053
hyvinkaa,60.6333,24.8667,64.45,80,27,5.08,FI,1623012053
noumea,-22.2763,166.4572,70.0,99,99,6.24,NC,1623011960
hermanus,-34.4187,19.2345,65.89,42,2,11.43,ZA,1623012054
isiolo,0.3546,37.5822,69.21,61,38,17.56,KE,1623012054
menzelinsk,55.7271,53.1026,65.44,76,0,0.89,RU,1623012055
euclides da cunha,-10.5075,-39.0158,72.5,66,40,7.25,BR,1623012055
atuona,-9.8,-139.0333,79.75,65,59,7.16,PF,1623012008
port alfred,-33.5906,26.891,65.14,36,0,8.21,ZA,1623012056
saskylakh,71.9167,114.0833,37.26,64,68,4.56,RU,1623012056
kasongo-lunda,-6.4667,16.8167,70.79,46,36,0.25,CD,1623012057
zhangye,38.9342,100.4517,60.48,51,64,5.06,CN,1623012057
puerto ayora,-0.7393,-90.3518,80.56,88,33,7.0,EC,1623012058
longyearbyen,78.2186,15.6401,39.04,70,0,17.27,SJ,1623012058
narsaq,60.9167,-46.05,55.62,66,100,2.04,GL,1623012024
khatanga,71.9667,102.5,33.22,96,97,5.95,RU,1623012059
bredasdorp,-34.5322,20.0403,51.12,50,4,6.46,ZA,1623012060
sur,22.5667,59.5289,84.15,78,0,12.77,OM,1623011786
talnakh,69.4865,88.3972,31.23,98,100,3.47,RU,1623012060
novaya mayna,54.15,49.75,59.04,88,67,4.68,RU,1623012060
chokurdakh,70.6333,147.9167,37.42,73,99,6.64,RU,1623012061
nagato,34.3833,131.2,66.11,92,100,6.69,JP,1623012062
tuktoyaktuk,69.4541,-133.0374,33.8,69,90,9.22,CA,1623012014
bandarbeyla,9.4942,50.8122,79.23,88,0,25.79,SO,1623012062
kodiak,57.79,-152.4072,55.0,55,15,6.73,US,1623012063
thompson,55.7435,-97.8558,64.56,63,90,5.75,CA,1623012063
aden,12.7794,45.0367,92.25,50,3,7.02,YE,1623011858
sayyan,15.1718,44.3244,66.07,42,17,4.03,YE,1623012064
walvis bay,-22.9575,14.5053,76.08,24,0,4.03,NA,1623012065
leningradskiy,69.3833,178.4167,39.33,83,14,13.27,RU,1623012065
mercedes,-34.6515,-59.4307,55.18,61,99,6.98,AR,1623012066
saint-pierre,-21.3393,55.4781,73.08,88,75,21.85,RE,1623012066
darnah,32.767,22.6367,70.41,73,1,11.99,LY,1623012066
pitimbu,-7.4706,-34.8086,75.79,82,45,12.5,BR,1623012067
port hedland,-20.3167,118.5667,71.65,43,70,8.05,AU,1623012067
tilichiki,60.4667,166.1,37.36,97,100,8.01,RU,1623012002
angoche,-16.2325,39.9086,72.72,74,91,11.99,MZ,1623012068
along,28.1667,94.7667,71.85,99,100,0.45,IN,1623012068
takoradi,4.8845,-1.7554,79.81,81,7,11.18,GH,1623012065
zunyi,27.6867,106.9072,67.82,72,91,1.39,CN,1623012069
imbituba,-28.24,-48.6703,67.89,96,100,5.61,BR,1623012070
tsagan aman,47.5639,46.7218,69.22,52,100,6.08,RU,1623012070
kaitangata,-46.2817,169.8464,46.51,81,95,3.47,NZ,1623012070
mitsamiouli,-11.3847,43.2844,78.39,70,34,14.76,KM,1623012071
tonantins,-2.8731,-67.8022,84.11,74,49,3.38,BR,1623012071
viedma,-40.8135,-62.9967,50.59,42,97,10.54,AR,1623011814
margate,51.3813,1.3862,64.26,76,63,1.99,GB,1623011911
vila franca do campo,37.7167,-25.4333,66.61,84,99,2.84,PT,1623012072
hobyo,5.3505,48.5268,78.53,89,26,24.92,SO,1623012072
dikson,73.5069,80.5464,29.82,89,100,11.99,RU,1623012073
roura,4.7263,-52.3274,80.96,83,75,4.85,GF,1623012073
salalah,17.0151,54.0924,84.29,89,40,8.05,OM,1623012021
provideniya,64.3833,-173.3,41.11,65,40,2.24,RU,1623012074
hamilton,39.1834,-84.5333,84.97,66,20,5.01,US,1623011776
san quintin,30.4833,-115.95,66.4,62,14,12.48,MX,1623012074
la paz,-16.5,-68.15,58.98,22,75,13.8,BO,1623011922
nisia floresta,-6.0911,-35.2086,79.18,92,14,8.46,BR,1623012075
ahipara,-35.1667,173.1667,59.38,88,100,15.35,NZ,1623012076
atambua,-9.1061,124.8925,68.27,85,33,5.17,ID,1623012076
traiguen,-38.25,-72.6833,46.6,78,100,2.98,CL,1623012076
sisimiut,66.9395,-53.6735,43.12,83,100,3.96,GL,1623012077
katobu,-4.9408,122.5276,74.43,88,72,3.78,ID,1623012077
megion,61.0296,76.1136,41.02,63,2,5.66,RU,1623012078
khani,41.9563,42.9566,47.77,98,91,1.32,GE,1623012078
north bend,43.4065,-124.2243,67.24,58,1,13.8,US,1623012079
kavaratti,10.5669,72.642,82.6,76,100,10.42,IN,1623012079
maxixe,-23.8597,35.3472,67.08,72,82,10.98,MZ,1623012079
padang,-0.9492,100.3543,75.7,78,75,3.38,ID,1623012080
marfino,55.7028,37.3822,62.74,88,0,4.14,RU,1623012080
orange cove,36.6244,-119.3137,97.57,11,31,6.06,US,1623012081
pyu,18.4833,96.4333,77.38,91,100,3.49,MM,1623012081
dzilam gonzalez,21.2833,-88.9333,93.34,48,49,9.95,MX,1623012081
elizabeth city,36.2946,-76.2511,94.01,60,20,9.22,US,1623012082
jalu,29.0331,21.5482,79.63,19,0,7.4,LY,1623012082
mataura,-46.1927,168.8643,43.48,87,82,2.62,NZ,1623012083
swan hill,-35.3378,143.5544,48.58,77,100,10.04,AU,1623012083
deputatskiy,69.3,139.9,39.49,68,7,3.31,RU,1623012084
torbay,47.6666,-52.7314,46.49,85,90,16.11,CA,1623012084
toyooka,35.5333,134.8333,65.28,72,99,5.17,JP,1623012085
pangnirtung,66.1451,-65.7125,37.4,81,75,12.66,CA,1623012085
victoria,22.2855,114.1577,80.96,87,39,5.99,HK,1623011986
port lincoln,-34.7333,135.8667,60.57,49,99,23.64,AU,1623012086
the pas,53.8251,-101.2541,60.82,77,75,11.56,CA,1623012086
galle,6.0367,80.217,80.28,84,89,11.83,LK,1623011904
avarua,-21.2078,-159.775,75.25,64,40,5.75,CK,1623012087
pontalina,-17.525,-49.4472,76.71,40,100,4.05,BR,1623012087
dana point,33.467,-117.6981,84.56,67,44,5.01,US,1623012088
eureka,40.8021,-124.1637,64.9,67,46,8.01,US,1623012088
coihaique,-45.5752,-72.0662,48.81,71,75,6.91,CL,1623012088
acapulco,16.8634,-99.8901,89.42,66,75,10.67,MX,1623012023
hithadhoo,-0.6,73.0833,82.76,73,8,12.88,MV,1623012089
port blair,11.6667,92.75,83.84,77,100,12.39,IN,1623012089
gamba,-2.65,10.0,75.58,95,91,4.81,GA,1623012090
acarau,-2.8856,-40.12,78.62,85,43,9.15,BR,1623012091
ambilobe,-13.2,49.05,71.53,88,84,3.4,MG,1623012091
qinhuangdao,39.9317,119.5883,68.76,53,100,8.32,CN,1623012092
portland,45.5234,-122.6762,62.4,60,90,5.01,US,1623011915
kavieng,-2.5744,150.7967,81.93,76,69,6.89,PG,1623012092
sechura,-5.5569,-80.8222,75.54,62,95,11.61,PE,1623012093
urumqi,43.801,87.6005,58.15,51,0,2.98,CN,1623012093
necochea,-38.5473,-58.7368,53.04,57,100,5.91,AR,1623011943
gizo,-8.103,156.8419,81.82,78,19,6.42,SB,1623012093
razdolinsk,58.4211,94.6658,48.51,99,100,5.1,RU,1623012094
chuy,-33.6971,-53.4616,51.49,78,100,5.08,UY,1623012095
fukue,32.6881,128.8419,69.12,72,100,2.06,JP,1623012095
kahului,20.8947,-156.47,83.46,68,20,20.71,US,1623012095
nanortalik,60.1432,-45.2371,44.92,72,100,15.37,GL,1623012096
bubaque,11.2833,-15.8333,79.41,85,43,17.94,GW,1623012025
lima,-12.0432,-77.0282,65.14,93,90,1.01,PE,1623011986
komsomolskiy,40.4272,71.7189,89.02,23,73,20.71,UZ,1623011846
port elizabeth,-33.918,25.5701,64.09,87,20,4.61,ZA,1623012097
itoman,26.1247,127.6694,75.97,94,75,8.05,JP,1623011827
tasiilaq,65.6145,-37.6368,44.76,90,98,4.43,GL,1623012044
poya,-21.35,165.15,70.07,60,89,7.45,NC,1623012098
smoky lake,54.1169,-112.4686,66.96,37,87,12.12,CA,1623012098
norilsk,69.3535,88.2027,31.42,98,100,4.12,RU,1623012098
hofn,64.2539,-15.2082,47.14,94,92,12.86,IS,1623012099
asau,46.4333,26.4,54.52,84,4,4.56,RO,1623012099
marsh harbour,26.5412,-77.0636,80.1,75,100,15.75,BS,1623012099
dunedin,-45.8742,170.5036,43.81,89,97,4.29,NZ,1623011949
concepcion del oro,24.6333,-101.4167,81.03,17,9,10.13,MX,1623012100
mega,4.05,38.3,60.53,65,18,5.26,ET,1623012100
esperance,-33.8667,121.9,53.44,61,100,29.04,AU,1623012101
san jose,37.3394,-121.895,85.71,41,20,4.0,US,1623011849
luau,-10.7073,22.2247,60.35,55,88,4.56,AO,1623012102
huron,41.1501,-82.5499,88.43,52,49,11.39,US,1623012102
rodotopion,39.7083,20.7258,69.37,63,85,1.14,GR,1623012102
lebanon,36.2081,-86.2911,77.22,83,40,9.22,US,1623012103
scalea,39.813,15.7956,70.12,64,34,2.62,IT,1623012104
labuan,5.2767,115.2417,80.96,94,20,1.01,MY,1623012104
kangaatsiaq,68.3065,-53.4641,36.99,91,54,11.27,GL,1623012104
tuatapere,-46.1333,167.6833,41.22,92,22,4.79,NZ,1623012105
new norfolk,-42.7826,147.0587,53.1,77,100,1.99,AU,1623012105
pidvynohradiv,48.1395,22.9719,61.81,82,12,6.4,UA,1623012106
asfi,32.2994,-9.2372,68.59,82,0,21.27,MA,1623012106
bengkulu,-3.8004,102.2655,73.78,90,36,4.07,ID,1623012106
monrovia,6.3005,-10.7969,80.37,84,98,7.92,LR,1623011947
olinda,-8.0089,-34.8553,78.53,69,75,11.83,BR,1623012107
bar harbor,44.3876,-68.2039,84.69,64,1,5.12,US,1623012107
vardo,70.3705,31.1107,41.2,70,20,11.5,NO,1623012108
dombarovskiy,50.7587,59.5386,61.79,33,100,9.51,RU,1623012108
winnipeg,49.8844,-97.147,78.03,48,40,5.75,CA,1623012091
rawatbhata,24.9333,75.5833,86.4,49,16,8.01,IN,1623012108
port said,31.2565,32.2841,71.58,83,0,11.5,EG,1623012109
tripoli,32.8752,13.1875,84.33,31,86,17.65,LY,1623012048
cayenne,4.9333,-52.3333,82.44,85,20,4.0,GF,1623011827
broome,42.2506,-75.833,90.01,45,75,3.0,US,1623012110
rafaela,-31.2503,-61.4867,54.43,62,12,7.81,AR,1623012110
bagdarin,54.4333,113.6,55.53,80,99,7.76,RU,1623012111
souillac,-20.5167,57.5167,75.58,78,75,10.49,MU,1623012111
neuquen,-38.9516,-68.0591,53.49,54,0,2.3,AR,1623011893
port moresby,-9.4431,147.1797,74.62,94,75,5.75,PG,1623012112
kolpashevo,58.3131,82.9089,54.88,96,99,9.73,RU,1623012112
san ramon,37.7799,-121.978,88.32,44,1,7.0,US,1623012113
severomuysk,56.1481,113.4267,37.06,89,100,6.33,RU,1623012113
la ronge,55.1001,-105.2842,62.85,51,75,9.22,CA,1623012113
rosetta,31.4044,30.4164,69.62,67,0,12.62,EG,1623012114
ambon,-3.6954,128.1814,80.15,81,100,9.62,ID,1623012027
chicama,-7.8447,-79.1469,66.74,74,99,9.69,PE,1623012114
yining,29.0361,114.5636,66.9,83,100,2.15,CN,1623012115
shimoda,34.6667,138.95,68.16,86,91,9.28,JP,1623012115
vlore,40.4667,19.4897,70.83,60,100,4.43,AL,1623012116
palafrugell,41.9174,3.1631,67.32,20,26,7.56,ES,1623012116
lata,40.1629,-8.3327,59.81,87,0,2.77,PT,1623012117
fortuna,40.5982,-124.1573,64.65,60,20,7.0,US,1623011912
yakeshi,49.2833,120.7333,50.88,74,2,4.97,CN,1623012117
kendari,-3.945,122.4989,73.71,94,32,3.0,ID,1623012118
qurayyat,31.3318,37.3428,75.38,25,0,14.85,SA,1623012118
magdagachi,53.45,125.8,58.24,50,100,1.59,RU,1623012118
porto torres,40.835,8.3972,67.1,88,51,7.38,IT,1623012119
saint-donat-de-montcalm,46.3187,-74.2219,84.06,70,58,11.03,CA,1623012058
dedovichi,57.5517,29.9502,58.17,87,49,7.63,RU,1623012120
phan thiet,10.9333,108.1,78.51,85,100,7.72,VN,1623012120
kurchum,48.5722,83.6542,53.74,55,0,4.52,KZ,1623012121
arboletes,8.8505,-76.4269,83.37,78,100,6.35,CO,1623012121
matata,-37.8833,176.75,60.96,87,100,16.26,NZ,1623012121
longyan,25.1072,117.0225,70.93,98,93,2.33,CN,1623012122
victoria point,-27.5833,153.3,55.18,89,53,1.01,AU,1623012122
oranjestad,12.524,-70.027,85.95,79,20,11.01,AW,1623012123
igrim,63.1906,64.4162,39.06,58,73,4.85,RU,1623012123
beringovskiy,63.05,179.3167,34.75,99,100,4.16,RU,1623012124
robe,-37.1833,139.75,60.42,72,100,29.62,AU,1623011837
gazojak,41.1875,61.4036,88.5,20,16,10.6,TM,1623012124
biltine,14.5333,20.9167,91.38,17,91,4.97,TD,1623012125
senneterre,48.3835,-77.2328,86.22,51,41,8.03,CA,1623012125
abadan,30.3392,48.3043,100.35,18,0,9.22,IR,1623012126
bagru,26.8088,75.5423,89.94,38,18,12.33,IN,1623012126
qingyuan,23.7,113.0333,80.58,81,13,3.29,CN,1623012127
alakurtti,66.9672,30.3491,53.64,53,3,3.53,RU,1623012127
harper,4.375,-7.7169,77.85,89,100,10.25,LR,1623011839
lasa,46.6166,10.7002,63.48,93,100,3.42,IT,1623012128
palauig,15.435,119.9045,81.9,79,100,7.16,PH,1623012128
itacare,-14.2775,-38.9967,78.69,89,1,7.56,BR,1623012129
port macquarie,-31.4333,152.9167,45.37,68,2,5.03,AU,1623012095
abha,18.2164,42.5053,71.85,21,0,0.96,SA,1623012129
alta floresta,-9.8756,-56.0861,93.02,43,40,4.61,BR,1623012130
saint george,37.1041,-113.5841,102.67,11,1,1.01,US,1623011999
moindou,-21.6924,165.677,62.55,61,94,8.86,NC,1623012130
